HALTER_ID,OWNER_AGE,GENDER,CITY,DISTRICT,BREED1,BREED1_MUTT,BREED2,BREED2_MUTT,RASSENTYP,BIRTH_YEAR_DOG,GENDER_DOG,DOG_COLOR
54322,71-80,m,3,33,Lagotto Romagnolo,,,,I,2009,m,weiss/orange
54926,81-90,m,2,21,Jack Russel Terrier,,,,K,2002,m,tricolor
55176,71-80,m,3,34,Dobermann,,,,I,2003,w,schwarz/braun
55835,61-70,w,8,82,Appenzeller Sennenhund,Mischling,,,I,2014,m,tricolor
56084,51-60,w,7,72,Berner Sennenhund,,,,I,2007,w,dreifarbig
60397,51-60,m,7,74,Deutscher Schäfer,,,,I,2005,w,grau/schwarz
60402,61-70,w,11,111,Border Terrier,,,,K,2004,m,rot/grau/schwarz
60402,61-70,w,11,111,Mischling klein,,,,K,2013,m,dunkelbraun
61323,71-80,m,8,81,Mudi,,,,I,2010,m,blondfarben
62389,71-80,m,8,83,Boxer,,,,I,2014,w,gestromt
62621,71-80,m,11,111,Papillon,,,,K,2004,w,schwarz/weiss
62628,61-70,m,7,72,Yorkshire Terrier,,,,K,2007,w,graubraun
63468,81-90,m,7,74,Mischling klein,,,,K,2003,m,braun/weiss
63704,71-80,m,10,101,Dachshund,,,,K,2012,w,saufarben
64202,71-80,w,6,63,Cairn Terrier,,,,K,2002,w,beige/braun/schwarz
64444,61-70,m,7,71,Mischling klein,,,,K,2007,w,rot/weiss
64718,51-60,m,11,115,Mischling klein,,,,K,2004,w,weiss/braun
64727,51-60,m,8,83,Border Collie,Mischling,,,I,2003,m,schwarz/weiss
65665,61-70,w,8,82,Mops,,,,K,2002,m,schwarz
65665,61-70,w,8,82,Mops,,,,K,2002,m,beige
65681,41-50,m,2,21,Italienisches Windspiel,,,,K,2011,m,blau
65713,61-70,w,2,21,Lagotto Romagnolo,,,,I,2005,w,braun
65732,51-60,m,7,72,Holländischer Schäfer,,,,I,2009,m,gestromt
65758,51-60,w,7,71,Yorkshire Terrier,,,,K,2007,m,black/tan
65758,51-60,w,7,71,Welsh Springer Spaniel,,,,I,2002,w,rot/weiss
65848,71-80,m,12,122,Pinscher,Mischling,,,K,2002,w,schwarz/braun
65940,41-50,w,8,81,Berner Sennenhund,,,,I,2010,w,tricolor
65975,61-70,w,7,74,Labrador Retriever,,,,I,2002,w,braun
65975,61-70,w,7,74,Labrador Retriever,,,,I,2006,m,schwarz
65981,51-60,w,6,63,Labrador Retriever,,,,I,2013,m,gelb
66144,51-60,m,5,51,Deutsche Dogge,,,,I,2013,w,gelb
66144,51-60,m,5,51,Labrador Retriever,,,,I,2006,m,braun
66151,51-60,m,11,115,Deutscher Schäfer,,,,I,2008,w,schwarz/braun/weiss
66266,61-70,m,9,91,Mischling klein,,,,K,2006,w,tricolor
66298,41-50,m,6,63,Magyar Viszla,,,,I,2010,m,gelb
66515,61-70,m,8,83,Labrador Retriever,,,,I,2007,w,braun
66515,61-70,m,8,83,Labrador Retriever,,,,I,2011,w,braun
66524,51-60,w,12,123,Mops,,Chihuahua,,K,2013,m,blue/merle
66524,51-60,w,12,123,Border Collie,,,,I,2007,w,weiss/schwarz
66702,51-60,w,6,61,Zwergpudel,,,,K,2008,w,apricot
66757,51-60,w,1,14,Mischling gross,,,,I,2012,m,braun/beige
66898,41-50,m,7,73,Coton de Tulear,,,,K,2010,m,weiss
66913,51-60,m,8,83,Hovawart,,,,I,2012,w,schwarz
66913,51-60,m,8,83,Hovawart,,,,I,2004,w,blondfarben
67001,51-60,w,3,34,Mops,,,,K,2013,m,beige
67018,71-80,w,6,61,Labrador Retriever,,,,I,2012,m,beige
67054,51-60,m,9,91,Beagle,,,,K,2003,w,tricolor
67125,51-60,m,7,74,Golden Retriever,,,,I,2001,m,golden
67135,31-40,m,6,61,Jack Russel Terrier,,,,K,2010,w,tricolor
67180,51-60,w,1,11,English Cocker Spaniel,,,,K,2004,w,blauschimmel
67220,61-70,m,6,61,Mischling klein,,,,K,2010,m,braun
67308,41-50,w,11,111,Shih Tzu,,,,K,2012,w,braun/weiss
70076,31-40,m,9,92,Labrador Retriever,,,,I,2009,m,braun
70176,41-50,w,4,44,Mischling gross,,,,I,2012,w,weiss
70287,51-60,m,2,24,Hirtenhund,,,,I,2006,m,weiss/grau
70296,51-60,w,7,74,Pinscher,Mischling,,,K,2009,m,hellbraun
70296,51-60,w,7,74,Mischling klein,,,,K,2010,w,weiss/beige
70577,51-60,w,3,34,Mischling klein,,,,K,2003,w,schwarz
70788,31-40,m,7,71,Mops,,Beagle,,K,2014,w,braun
70793,71-80,m,11,115,Soft Coated Wheaten Terrier,,,,I,2012,m,beige
71024,61-70,w,7,74,Lagotto Romagnolo,,,,I,2012,w,bianco-aranico
71119,51-60,w,11,115,Zwergpinscher,,,,K,2003,w,black/tan
71119,51-60,w,11,115,Prager Rattler,,Chihuahua,,K,2010,w,black/tan
71119,51-60,w,11,115,Chihuahua,,Prager Rattler,,K,2010,m,black/tan
71142,51-60,w,7,71,Canaan Dog,,,,I,2008,m,schwarz
71344,51-60,w,6,63,Labrador Retriever,,,,I,2002,w,gelb
71475,31-40,m,3,34,Lagotto Romagnolo,,,,I,2015,m,weiss/braun
71555,61-70,m,7,71,Mischling klein,,,,K,2009,m,schwarz schimmel
71670,51-60,m,7,71,Deutscher Schäfer,,,,I,2012,w,braun
71757,41-50,m,4,42,Bouvier,,,,I,2012,m,gestromt
71761,41-50,m,9,92,Jack Russel Terrier,,,,K,2010,m,tricolor
71893,41-50,w,6,63,Border Collie,,,,I,2012,w,tricolor
71915,71-80,w,1,13,Mischling klein,,,,K,2002,m,grau
71991,41-50,m,6,63,Border Collie,,,,I,2015,m,schwarz/weiss
72136,51-60,m,7,72,Labrador Retriever,,,,I,2007,m,choco
72355,61-70,m,1,11,Foxterrier,,,,K,2005,m,tricolor
72580,41-50,m,10,102,Prager Rattler,,,,K,2013,m,hellbraun
72580,41-50,m,10,102,Prager Rattler,,,,K,2013,m,braun
80006,61-70,m,3,31,Appenzeller Sennenhund,Mischling,,,I,2005,m,schwarz/weiss/braun
80007,71-80,m,11,111,Labrador Retriever,,,,I,2006,m,blondfarben
80011,41-50,w,12,123,Malteser,Mischling,,,K,2004,m,weiss
80011,41-50,w,12,123,Papillon,Mischling,,,K,2001,w,schwarz
80011,41-50,w,12,123,Yorkshire Terrier,,,,K,2009,m,tricolor
80011,41-50,w,12,123,Jura Laufhund,Mischling,,,I,2003,m,schwarz/braun/weiss
80017,61-70,m,6,61,Labrador Retriever,,,,I,2006,w,schwarz
80017,61-70,m,6,61,Spanischer Wasserhund,,,,I,2004,w,braun/weiss
80021,41-50,w,11,111,Labrador Retriever,,,,I,2011,w,schwarz
80023,61-70,m,11,111,Border Collie,,,,I,2010,m,tricolor
80023,61-70,m,11,111,Border Collie,,,,I,2001,m,schwarz/weiss
80028,41-50,w,10,101,Border Collie,,Deutscher Schäfer,,I,2015,w,tricolor
80056,81-90,m,7,74,Labrador Retriever,,,,I,2006,w,schwarz
80059,71-80,w,12,123,Französische Bulldogge,,,,K,2007,w,weiss
80068,51-60,m,9,91,Bayerischer Gebirgsschweisshund,,,,I,2011,m,hirschrot mit Maske
80096,51-60,w,11,111,Malteser,,,,K,2004,m,weiss
80097,61-70,m,6,61,Jack Russel Terrier,,,,K,2006,m,schwarz/weiss
80099,71-80,m,12,123,Pinscher,,,,K,2002,m,rot
80106,61-70,w,9,91,Labrador Retriever,,Golden Retriever,,I,2009,m,schwarz
80127,41-50,w,10,101,American Bulldog,,,,I,2005,w,weiss
80141,51-60,m,11,111,Schnauzer,Mischling,,,I,2002,w,grau/braun
80143,71-80,w,9,92,Yorkshire Terrier,,,,K,2007,w,schwarz/braun
80157,71-80,w,11,111,Mischling klein,,,,K,2003,w,braun/weiss
80162,51-60,m,12,123,Bouvier,,,,I,2008,w,schwarz
80162,51-60,m,12,123,Parson Jack Russell Terrier,,,,K,2008,m,weiss/rot
80168,61-70,m,11,119,Labrador Retriever,,,,I,2005,m,beige
80169,41-50,w,4,42,Jack Russel Terrier,,Wolfspitz,,K,2014,m,schwarz
80169,41-50,w,4,42,Jack Russel Terrier,Mischling,,,K,2007,w,tricolor
80172,51-60,m,9,91,Labrador Retriever,,,,I,2008,m,schwarz
80185,41-50,m,10,102,Labrador Retriever,,,,I,2010,w,blondfarben
80187,51-60,w,3,31,Golden Retriever,,,,I,2003,w,blondfarben
80188,51-60,w,10,101,Mischling klein,,,,K,2014,m,braun
80201,51-60,m,3,31,Mischling klein,,,,K,2007,w,schwarz
80204,51-60,w,11,111,Appenzeller,,,,I,1998,m,dreifarbig
80205,41-50,m,5,51,Beauceron,,,,I,2005,m,black/tan
80209,81-90,m,10,102,Bichon Havanais,,,,K,2000,w,weiss
80217,51-60,w,3,33,Foxterrier,,,,K,2007,w,braun/weiss
80223,41-50,m,11,111,Dachshund,Mischling,,,K,2011,w,hellbraun
80226,71-80,w,6,61,Labrador Retriever,,,,I,2010,m,braun
80230,61-70,w,9,92,Yorkshire Terrier,,,,K,2006,m,braun/weiss
80230,61-70,w,9,92,Yorkshire Terrier,Mischling,,,K,2006,w,schwarz/braun
80248,51-60,m,4,42,Jack Russel Terrier,,,,K,2009,w,braun/weiss
80258,51-60,m,11,111,Dackel,,,,K,2009,w,rot/schwarz
80267,41-50,m,12,122,Mischling klein,,,,K,2006,m,braun
80272,51-60,m,9,91,Terrier,Mischling,,,K,2007,m,black/tan
80306,61-70,m,9,91,Border Terrier,,,,K,2005,m,grau/braun
80317,81-90,w,7,74,Windspiel,,,,I,2001,w,blue
80319,41-50,w,10,102,Dackel,Mischling,,,K,2010,w,tricolor
80319,41-50,w,10,102,Mischling klein,,,,K,2006,m,braun/schwarz
80330,71-80,w,12,123,Husky,,Appenzeller,,I,2004,w,braun/weiss
80331,51-60,w,10,101,Collie,,,,I,2007,w,tricolor
80335,61-70,w,12,122,Irish Setter,,Golden Retriever,,I,2008,m,braun
80335,61-70,w,12,122,Irish Setter,,Golden Retriever,,I,2008,m,braun
80351,81-90,w,3,33,Bearded Collie,,,,I,2005,w,braun/weiss
80380,71-80,m,2,23,Mischling klein,,,,K,2007,w,tricolor
80382,51-60,w,10,102,Dachshund,,,,K,2008,m,braun
80383,81-90,w,4,44,Bichon,,West Highland White Terrier,,K,1999,w,weiss
80399,61-70,w,12,123,Appenzeller,Mischling,,,I,1998,m,tricolor
80404,61-70,m,7,72,Rottweiler,,,,I,2005,w,schwarz
80406,51-60,m,11,111,Labrador Retriever,,,,I,2008,w,schwarz
80407,71-80,m,7,72,Labrador Retriever,,,,I,2012,w,schwarz
80410,51-60,w,7,73,Labrador Retriever,,,,I,2012,w,schwarz
80411,41-50,w,6,61,Labrador Retriever,,,,I,2005,m,schwarz
80412,51-60,m,2,21,Labrador Retriever,,,,I,2012,m,schwarz
80416,51-60,w,9,91,Labrador Retriever,,,,I,2008,m,schwarz
80418,41-50,w,8,81,Labrador Retriever,,,,I,2006,m,schwarz
80427,61-70,m,10,102,Tschechoslowakischer Wolfshund,Mischling,,,I,2000,m,schwarz/braun
80434,61-70,w,7,71,Pudel,Mischling,,,K,2006,m,schwarz
80438,71-80,m,7,71,Deutscher Wachtel,,,,I,2006,w,rotbraun schimmel
80491,61-70,w,6,63,Chihuahua,,,,K,2006,w,braun
80493,81-90,w,11,119,Shih Tzu,,,,K,2006,m,weiss/schwarz
80494,81-90,w,2,21,Dachshund,,,,K,2004,m,braun/schwarz
80500,51-60,m,11,111,Boxer,,,,I,2010,w,goldbraun
80500,51-60,m,11,111,Deutscher Boxer,,,,I,2004,m,gelb
80509,71-80,w,2,24,Boxer,,,,I,2011,w,gelb
